gender|first_name|origin
f|IDA|norway
f|THEA*|norway
f|JULIE|norway
f|EMMA|norway
f|SARA*|norway
f|THEA*|norway
f|EMMA|norway
f|SARA*|norway
f|LINNEA*|norway
f|NORA*|norway
f|EMMA|norway
f|EMMA|norway
f|EMMA|norway
f|NORA*|norway
f|EMMA|norway
f|SOFIE*|norway
f|NORA*|norway
m|JOHAN|norway
m|JOHAN|norway
m|JOHAN|norway
m|JOHAN|norway
m|KARL*|norway
m|JOHAN|norway
m|JOHAN|norway
m|JOHAN|norway
m|JOHAN|norway
m|JOHAN|norway
m|JOHAN|norway
m|JOHAN|norway
m|OLE|norway
m|OLE|norway
m|JOHAN|norway
m|OLE|norway
m|JOHAN|norway
m|JOHAN|norway
m|JOHAN|norway
m|JOHAN|norway
m|JOHAN|norway
m|KARL*|norway
m|OLE|norway
m|OLE|norway
m|OLE|norway
m|JOHAN|norway
m|JOHAN|norway
m|JOHAN|norway
m|JOHAN|norway
m|ARNE|norway
m|ARNE|norway
m|OLAV|norway
m|OLAV|norway
m|OLAV|norway
m|OLAV|norway
m|OLAV|norway
m|OLAV|norway
m|OLAV|norway
m|OLAV|norway
m|OLAV|norway
m|HANS|norway
m|OLAV|norway
m|KÅRE|norway
m|ODD|norway
m|ODD|norway
m|ODD|norway
m|ODD|norway
m|ODD|norway
m|ODD|norway
m|ODD|norway
m|ODD|norway
m|KJELL|norway
m|ODD|norway
m|PER|norway
m|PER|norway
m|KJELL|norway
m|ARNE|norway
m|PER|norway
m|ARNE|norway
m|JAN|norway
m|PER|norway
m|KJELL|norway
m|KJELL|norway
m|PER|norway
m|PER|norway
m|PER|norway
m|PER|norway
m|PER|norway
m|PER|norway
m|PER|norway
m|PER|norway
m|PER|norway
m|BJØRN|norway
m|PER|norway
m|PER|norway
m|PER|norway
m|PER|norway
m|PER|norway
m|PER|norway
m|PER|norway
m|PER|norway
m|PER|norway
m|PER|norway
m|PER|norway
m|PER|norway
m|BJØRN|norway
m|BJØRN|norway
m|BJØRN|norway
m|BJØRN|norway
m|RUNE|norway
m|GEIR|norway
m|GEIR|norway
m|GEIR|norway
m|RUNE|norway
m|JAN|norway
m|LARS|norway
m|LARS|norway
m|LARS|norway
m|THOMAS*|norway
m|KRISTIAN*|norway
m|THOMAS*|norway
m|THOMAS*|norway
m|THOMAS*|norway
m|THOMAS*|norway
m|THOMAS*|norway
m|THOMAS*|norway
m|THOMAS*|norway
m|KRISTIAN*|norway
m|THOMAS*|norway
m|THOMAS*|norway
m|THOMAS*|norway
m|KRISTOFFER*|norway
m|KRISTOFFER*|norway
m|KRISTOFFER*|norway
m|KRISTIAN*|norway
m|ANDREAS|norway
m|MARTIN|norway
m|KRISTIAN*|norway
m|MARKUS*|norway
m|MARTIN|norway
m|KRISTIAN*|norway
m|KRISTIAN*|norway
m|KRISTIAN*|norway
m|TOBIAS|norway
m|MARKUS*|norway
m|KRISTIAN*|norway
m|MATHIAS*|norway
m|ALEXANDER*|norway
m|MATHIAS*|norway
m|ALEXANDER*|norway
m|EMIL|norway
m|EMIL|norway
m|MATHIAS*|norway
m|LUCAS*|norway
m|LUCAS*|norway
m|FILIP*|norway
m|OSKAR*|norway
m|EMIL|norway
m|FILIP*|norway
f|KAREN|norway
f|INGEBORG|norway
f|INGEBORG|norway
f|INGEBORG|norway
f|INGEBORG|norway
f|INGEBORG|norway
f|INGA|norway
f|INGEBORG|norway
f|INGA|norway
f|MARTA*|norway
f|INGEBORG|norway
f|MARTA*|norway
f|OLGA|norway
f|JENNY|norway
f|MARTA*|norway
f|MARTA*|norway
f|MARTA*|norway
f|OLGA|norway
f|ASTRID*|norway
f|INGEBORG|norway
f|ASTRID*|norway
f|MARIE|norway
f|MARIE|norway
f|MARIE|norway
f|ASTRID*|norway
f|BORGHILD|norway
f|MARIE|norway
f|GUDRUN|norway
f|ASTRID*|norway
f|ASTRID*|norway
f|ASTRID*|norway
f|GUDRUN|norway
f|GUDRUN|norway
f|ASTRID*|norway
f|RUTH|norway
f|ASTRID*|norway
f|RUTH|norway
f|RUTH|norway
f|RUTH|norway
f|ANNA|norway
f|ANNA|norway
f|RUTH|norway
f|GERD|norway
f|GERD|norway
f|GERD|norway
f|RUTH|norway
f|RUTH|norway
f|RUTH|norway
f|INGER|norway
f|BJØRG|norway
f|SOLVEIG|norway
f|SOLVEIG|norway
f|INGER|norway
f|INGER|norway
f|INGER|norway
f|INGER|norway
f|ASTRID*|norway
f|ANNE|norway
f|ANNE|norway
f|INGER|norway
f|INGER|norway
f|BJØRG|norway
f|KARI|norway
f|LIV|norway
f|LIV|norway
f|LIV|norway
f|KARI|norway
f|KARI|norway
f|TORILL*|norway
f|TORILL*|norway
f|MARIT|norway
f|MARIT|norway
f|TORILL*|norway
f|KARI|norway
f|MARIT|norway
f|BENTE|norway
f|INGER|norway
f|BENTE|norway
f|INGER|norway
f|KARI|norway
f|INGER|norway
f|INGER|norway
f|HILDE|norway
f|HEIDI|norway
f|NINA|norway
f|HILDE|norway
f|HILDE|norway
f|NINA|norway
f|HEIDI|norway
f|HILDE|norway
f|HILDE|norway
f|HEGE|norway
f|HEGE|norway
f|MONICA*|norway
f|MONICA*|norway
f|MONICA*|norway
f|LINDA|norway
f|CAMILLA*|norway
f|CAMILLA*|norway
f|LINDA|norway
f|KATRINE*|norway
f|KRISTINE*|norway
f|ANNE|norway
f|ANNE|norway
f|KRISTINE*|norway
f|IDA|norway
f|IDA|norway
f|IDA|norway
f|CAMILLA*|norway
f|SILJE|norway
f|MARTE*|norway
f|KAROLINE*|norway
f|SILJE|norway
f|SILJE|norway
f|IDA|norway
f|MARTE*|norway
f|JULIE|norway
f|KAROLINE*|norway
f|MALIN|norway
f|IDA|norway
f|JULIE|norway
f|IDA|norway
f|THEA*|norway
f|IDA|norway
f|IDA|norway
f|SARA*|norway
f|EMMA|norway
f|EMMA|norway
f|SARA*|norway
f|LINNEA*|norway
f|SARA*|norway
f|SARA*|norway
f|SOFIE*|norway
f|SOFIE*|norway
f|SARA*|norway
f|SARA*|norway
f|SOFIE*|norway
f|EMMA|norway
f|OLIVIA|norway
m|KARL*|norway
m|HANS|norway
m|KARL*|norway
m|KARL*|norway
m|JOHAN|norway
m|HANS|norway
m|KARL*|norway
m|HANS|norway
m|KARL*|norway
m|HANS|norway
m|KARL*|norway
m|KARL*|norway
m|HANS|norway
m|KARL*|norway
m|HANS|norway
m|KARL*|norway
m|HANS|norway
m|HANS|norway
m|KARL*|norway
m|HANS|norway
m|HANS|norway
m|OLE|norway
m|KARL*|norway
m|HANS|norway
m|HANS|norway
m|KARL*|norway
m|KARL*|norway
m|ARNE|norway
m|ARNE|norway
m|JOHAN|norway
m|JOHAN|norway
m|JOHAN|norway
m|HANS|norway
m|EINAR|norway
m|SVERRE|norway
m|JOHAN|norway
m|HANS|norway
m|HANS|norway
m|HANS|norway
m|HANS|norway
m|KÅRE|norway
m|ODD|norway
m|OLAV|norway
m|OLAV|norway
m|KÅRE|norway
m|KÅRE|norway
m|KÅRE|norway
m|KÅRE|norway
m|KJELL|norway
m|KÅRE|norway
m|KJELL|norway
m|ODD|norway
m|KJELL|norway
m|KJELL|norway
m|ODD|norway
m|ODD|norway
m|PER|norway
m|ARNE|norway
m|PER|norway
m|KJELL|norway
m|KJELL|norway
m|PER|norway
m|PER|norway
m|KJELL|norway
m|KJELL|norway
m|BJØRN|norway
m|BJØRN|norway
m|BJØRN|norway
m|BJØRN|norway
m|KJELL|norway
m|BJØRN|norway
m|BJØRN|norway
m|PER|norway
m|BJØRN|norway
m|BJØRN|norway
m|BJØRN|norway
m|BJØRN|norway
m|BJØRN|norway
m|BJØRN|norway
m|BJØRN|norway
m|BJØRN|norway
m|BJØRN|norway
m|BJØRN|norway
m|BJØRN|norway
m|BJØRN|norway
m|PER|norway
m|GEIR|norway
m|GEIR|norway
m|GEIR|norway
m|GEIR|norway
m|RUNE|norway
m|RUNE|norway
m|RUNE|norway
m|THOMAS*|norway
m|MORTEN|norway
m|JAN|norway
m|JAN|norway
m|KRISTIAN*|norway
m|LARS|norway
m|LARS|norway
m|LARS|norway
m|LARS|norway
m|LARS|norway
m|STIAN|norway
m|STIAN|norway
m|STIAN|norway
m|ALEXANDER*|norway
m|STIAN|norway
m|KRISTOFFER*|norway
m|KRISTOFFER*|norway
m|KRISTOFFER*|norway
m|ANDREAS|norway
m|ANDREAS|norway
m|KRISTIAN*|norway
m|KRISTOFFER*|norway
m|KRISTIAN*|norway
m|ANDREAS|norway
m|MARKUS*|norway
m|MARTIN|norway
m|KRISTIAN*|norway
m|MARTIN|norway
m|MARTIN|norway
m|MARTIN|norway
m|JONAS|norway
m|MARTIN|norway
m|MATHIAS*|norway
m|ALEXANDER*|norway
m|LUCAS*|norway
m|EMIL|norway
m|EMIL|norway
m|MATHIAS*|norway
m|MATHIAS*|norway
m|WILLIAM|norway
m|WILLIAM|norway
m|EMIL|norway
m|LUCAS*|norway
m|LUCAS*|norway
m|OSKAR*|norway
m|OLIVER|norway
f|INGEBORG|norway
f|ANNE|norway
f|INGA|norway
f|INGA|norway
f|KAREN|norway
f|INGA|norway
f|INGEBORG|norway
f|INGA|norway
f|KAREN|norway
f|INGEBORG|norway
f|MARTA*|norway
f|INGEBORG|norway
f|MARTA*|norway
f|OLGA|norway
f|INGEBORG|norway
f|JENNY|norway
f|OLGA|norway
f|INGEBORG|norway
f|OLGA|norway
f|ASTRID*|norway
f|MARGIT|norway
f|MARGIT|norway
f|INGEBORG|norway
f|BORGHILD|norway
f|INGEBORG|norway
f|GUDRUN|norway
f|BORGHILD|norway
f|MARIE|norway
f|BORGHILD|norway
f|BORGHILD|norway
f|BORGHILD|norway
f|SOLVEIG|norway
f|SOLVEIG|norway
f|GUDRUN|norway
f|ASTRID*|norway
f|RUTH|norway
f|ASTRID*|norway
f|ASTRID*|norway
f|ASTRID*|norway
f|GERD|norway
f|GERD|norway
f|INGRID*|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|INGER|norway
f|INGER|norway
f|INGER|norway
f|RUTH|norway
f|GERD|norway
f|GERD|norway
f|INGER|norway
f|GERD|norway
f|SOLVEIG|norway
f|GERD|norway
f|GERD|norway
f|INGER|norway
f|GERD|norway
f|GERD|norway
f|KARI|norway
f|KARI|norway
f|KARI|norway
f|BJØRG|norway
f|KARI|norway
f|KARI|norway
f|KARI|norway
f|LIV|norway
f|LIV|norway
f|LIV|norway
f|KARI|norway
f|TORILL*|norway
f|KARI|norway
f|KARI|norway
f|MARIT|norway
f|LIV|norway
f|MARIT|norway
f|GRETHE*|norway
f|TORILL*|norway
f|GRETHE*|norway
f|INGER|norway
f|MARIT|norway
f|KARI|norway
f|KARI|norway
f|ANITA|norway
f|HEIDI|norway
f|BENTE|norway
f|ANITA|norway
f|KRISTIN*|norway
f|MARIANNE|norway
f|NINA|norway
f|MONICA*|norway
f|NINA|norway
f|LINDA|norway
f|LINDA|norway
f|HEGE|norway
f|HEGE|norway
f|LENE|norway
f|MONICA*|norway
f|KATRINE*|norway
f|KATRINE*|norway
f|MARIANNE|norway
f|LINDA|norway
f|KRISTINE*|norway
f|LINN|norway
f|ANNE|norway
f|STINE|norway
f|KRISTINE*|norway
f|KATRINE*|norway
f|SILJE|norway
f|KAROLINE*|norway
f|SILJE|norway
f|IDA|norway
f|MARTE*|norway
f|CAMILLA*|norway
f|MARTE*|norway
f|SILJE|norway
f|KAROLINE*|norway
f|MARTE*|norway
f|MARTE*|norway
f|JULIE|norway
f|THEA*|norway
f|EMILIE|norway
f|JULIE|norway
f|JULIE|norway
f|THEA*|norway
f|IDA|norway
f|JULIE|norway
f|JULIE|norway
f|NORA*|norway
f|NORA*|norway
f|NORA*|norway
f|SOFIE*|norway
f|LINNEA*|norway
f|NORA*|norway
f|SOFIE*|norway
f|SOFIE*|norway
f|SARA*|norway
f|SARA*|norway
f|SARA*|norway
m|HANS|norway
m|KARL*|norway
m|HANS|norway
m|HANS|norway
m|HANS|norway
m|KARL*|norway
m|HANS|norway
m|KARL*|norway
m|HANS|norway
m|KARL*|norway
m|HANS|norway
m|HANS|norway
m|KARL*|norway
m|HANS|norway
m|KARL*|norway
m|HANS|norway
m|KARL*|norway
m|KARL*|norway
m|HANS|norway
m|KARL*|norway
m|KARL*|norway
m|HANS|norway
m|HANS|norway
m|KARL*|norway
m|KARL*|norway
m|OLAV|norway
m|OLE|norway
m|HANS|norway
m|OLE|norway
m|OLE|norway
m|OLE|norway
m|HANS|norway
m|JOHAN|norway
m|JOHAN|norway
m|JOHAN|norway
m|HANS|norway
m|SVERRE|norway
m|EINAR|norway
m|JOHAN|norway
m|OLE|norway
m|OLAV|norway
m|KÅRE|norway
m|ODD|norway
m|KÅRE|norway
m|OLAV|norway
m|OLAV|norway
m|PER|norway
m|PER|norway
m|PER|norway
m|PER|norway
m|PER|norway
m|PER|norway
m|PER|norway
m|ODD|norway
m|KJELL|norway
m|PER|norway
m|JAN|norway
m|JAN|norway
m|JAN|norway
m|ARNE|norway
m|ARNE|norway
m|ARNE|norway
m|BJØRN|norway
m|BJØRN|norway
m|BJØRN|norway
m|KJELL|norway
m|KJELL|norway
m|KJELL|norway
m|KJELL|norway
m|BJØRN|norway
m|SVEIN|norway
m|KJELL|norway
m|KJELL|norway
m|KJELL|norway
m|KJELL|norway
m|KJELL|norway
m|KJELL|norway
m|KJELL|norway
m|KJELL|norway
m|GEIR|norway
m|GEIR|norway
m|GEIR|norway
m|GEIR|norway
m|GEIR|norway
m|GEIR|norway
m|GEIR|norway
m|PER|norway
m|PER|norway
m|PER|norway
m|BJØRN|norway
m|BJØRN|norway
m|BJØRN|norway
m|THOMAS*|norway
m|MORTEN|norway
m|FRODE|norway
m|RUNE|norway
m|KRISTIAN*|norway
m|JAN|norway
m|JAN|norway
m|JAN|norway
m|STIAN|norway
m|ANDERS|norway
m|STIAN|norway
m|LARS|norway
m|ANDERS|norway
m|ANDERS|norway
m|STIAN|norway
m|ALEXANDER*|norway
m|STIAN|norway
m|ALEXANDER*|norway
m|ANDREAS|norway
m|THOMAS*|norway
m|KRISTIAN*|norway
m|ANDREAS|norway
m|ANDREAS|norway
m|KRISTOFFER*|norway
m|KRISTOFFER*|norway
m|MARTIN|norway
m|SANDER|norway
m|ANDREAS|norway
m|SANDER|norway
m|ANDREAS|norway
m|MATHIAS*|norway
m|ANDREAS|norway
m|ANDREAS|norway
m|JONAS|norway
m|ELIAS|norway
m|KRISTIAN*|norway
m|MARKUS*|norway
m|MATHIAS*|norway
m|WILLIAM|norway
m|MAGNUS|norway
m|EMIL|norway
m|OSKAR*|norway
m|MARKUS*|norway
m|JAKOB*|norway
m|MATHIAS*|norway
m|LUCAS*|norway
m|OSKAR*|norway
f|INGA|norway
f|KAREN|norway
f|KAREN|norway
f|ANNE|norway
f|INGA|norway
f|ANNE|norway
f|MARTA*|norway
f|KAREN|norway
f|INGEBORG|norway
f|INGA|norway
f|INGA|norway
f|INGA|norway
f|INGEBORG|norway
f|MARTA*|norway
f|OLGA|norway
f|INGEBORG|norway
f|ASTRID*|norway
f|MARGIT|norway
f|INGEBORG|norway
f|BORGHILD|norway
f|INGEBORG|norway
f|INGEBORG|norway
f|BORGHILD|norway
f|INGEBORG|norway
f|MARGIT|norway
f|INGEBORG|norway
f|INGEBORG|norway
f|MARGIT|norway
f|MARGIT|norway
f|MARGIT|norway
f|SOLVEIG|norway
f|BORGHILD|norway
f|MARGIT|norway
f|BORGHILD|norway
f|GUDRUN|norway
f|GUDRUN|norway
f|GUDRUN|norway
f|INGRID*|norway
f|GERD|norway
f|INGRID*|norway
f|INGRID*|norway
f|ANNA|norway
f|INGRID*|norway
f|INGRID*|norway
f|INGRID*|norway
f|INGRID*|norway
f|ASTRID*|norway
f|ASTRID*|norway
f|BJØRG|norway
f|RUTH|norway
f|RAGNHILD|norway
f|GERD|norway
f|SOLVEIG|norway
f|GERD|norway
f|KARI|norway
f|ANNE|norway
f|ANNE|norway
f|ASTRID*|norway
f|KARI|norway
f|GERD|norway
f|LIV|norway
f|GERD|norway
f|LIV|norway
f|BJØRG|norway
f|BJØRG|norway
f|MARIT|norway
f|MARIT|norway
f|TORILL*|norway
f|MARIT|norway
f|MARIT|norway
f|LIV|norway
f|TORILL*|norway
f|MARIT|norway
f|LIV|norway
f|KARI|norway
f|KARI|norway
f|KARI|norway
f|GRETHE*|norway
f|KARI|norway
f|GRETHE*|norway
f|KARI|norway
f|MARIT|norway
f|MARIT|norway
f|NINA|norway
f|BENTE|norway
f|NINA|norway
f|MARIANNE|norway
f|MARIANNE|norway
f|NINA|norway
f|MONICA*|norway
f|ANITA|norway
f|HILDE|norway
f|NINA|norway
f|NINA|norway
f|ELIN|norway
f|ELIN|norway
f|CAMILLA*|norway
f|KRISTIN*|norway
f|MARIANNE|norway
f|ELISABETH*|norway
f|LINDA|norway
f|CAMILLA*|norway
f|MARIANNE|norway
f|KATRINE*|norway
f|ANETTE*|norway
f|ANETTE*|norway
f|STINE|norway
f|CAMILLA*|norway
f|KATRINE*|norway
f|KRISTINE*|norway
f|CAMILLA*|norway
f|KRISTINE*|norway
f|KAROLINE*|norway
f|KRISTINE*|norway
f|CAMILLA*|norway
f|KRISTINE*|norway
f|MARTE*|norway
f|JULIE|norway
f|KAROLINE*|norway
f|MALIN|norway
f|SARA*|norway
f|THEA*|norway
f|NORA*|norway
f|SARA*|norway
f|NORA*|norway
f|JULIE|norway
f|NORA*|norway
f|NORA*|norway
f|THEA*|norway
f|SOFIE*|norway
f|SOFIE*|norway
f|MAJA*|norway
f|INGRID*|norway
f|MAJA*|norway
f|EMILIE|norway
f|SOFIA*|norway
f|SOFIA*|norway
f|OLIVIA|norway
f|EMILIE|norway
m|KRISTIAN*|norway
m|KRISTIAN*|norway
m|KRISTIAN*|norway
m|KRISTIAN*|norway
m|KRISTIAN*|norway
m|KRISTIAN*|norway
m|KRISTIAN*|norway
m|KRISTIAN*|norway
m|NILS*|norway
m|OLAF|norway
m|KRISTIAN*|norway
m|KRISTIAN*|norway
m|KRISTIAN*|norway
m|KRISTIAN*|norway
m|KRISTIAN*|norway
m|OLAF|norway
m|KRISTIAN*|norway
m|EINAR|norway
m|EINAR|norway
m|EINAR|norway
m|KRISTIAN*|norway
m|EINAR|norway
m|EINAR|norway
m|EINAR|norway
m|EINAR|norway
m|HANS|norway
m|ARNE|norway
m|EINAR|norway
m|EINAR|norway
m|HANS|norway
m|EINAR|norway
m|EINAR|norway
m|SVERRE|norway
m|SVERRE|norway
m|EINAR|norway
m|SVERRE|norway
m|JOHAN|norway
m|JOHAN|norway
m|OLE|norway
m|KÅRE|norway
m|ROLF|norway
m|HANS|norway
m|HANS|norway
m|HANS|norway
m|ROLF|norway
m|PER|norway
m|GUNNAR|norway
m|OLAV|norway
m|KÅRE|norway
m|KJELL|norway
m|KÅRE|norway
m|KÅRE|norway
m|KÅRE|norway
m|KÅRE|norway
m|KÅRE|norway
m|BJØRN|norway
m|ODD|norway
m|BJØRN|norway
m|BJØRN|norway
m|BJØRN|norway
m|BJØRN|norway
m|BJØRN|norway
m|ARNE|norway
m|ARNE|norway
m|ARNE|norway
m|SVEIN|norway
m|ARNE|norway
m|SVEIN|norway
m|SVEIN|norway
m|SVEIN|norway
m|KJELL|norway
m|SVEIN|norway
m|SVEIN|norway
m|SVEIN|norway
m|SVEIN|norway
m|SVEIN|norway
m|SVEIN|norway
