first_name|gender|origin|definition
Ugbatt|m|Eboo, Hebo|
Omuk|m|Eboo, Hebo|
Hejbo|m|Eboo, Hebo|
Wijuatcho|m|Eboo, Hebo|
Wibuatcha|m|Eboo, Hebo|
Hepyth|m|Eboo, Hebo|
Esalamy|m|Eboo, Hebo|
Oliak|m|Eboo, Hebo|
Edwado|m|Eboo, Hebo|
Adialah|m|Eboo, Hebo|
Acanfoh|m|Eboo, Hebo|
Babash|m|Eboo, Hebo|
Akwolly|m|Eboo, Hebo|
Egabaa|m|Eboo, Hebo|
Alozue|m|Eboo, Hebo|
Messoue|m|Eboo, Hebo|
Ouckre|m|Eboo, Hebo|
Acanda|m|Calabar|
Emawhow|m|Eboo, Hebo|
Eboguay|m|Eboo, Hebo|
Micatcha|m|Eboo, Hebo|
Acanfa|m|Acon, Acan|
Cannob|m|Yapacode|
Hoghee|m|Eboo, Hebo|
Houday|m|Eboo, Hebo|
Amonaillo|m|Eboo, Hebo|
Anohah|m|Eboo, Hebo|
Acquahah|m|Accouder|
Anohah|m|Eboo, Hebo|
Amnohah|m|Eboo, Hebo|
Ahlam|m|Eboo, Hebo|
Eatsou|m|Gallangola|
Ogoh|m|Ahourah, Iagon|
Olofiah|m|Calabar|
Inyah|m|Calabar|
Ochiah|m|Calabar|
Pabia|m|Calabar|
Afoonabah|m|Calabar|
Edefong|m|Eboo, Hebo|
Ahborbah|m|Eboo, Hebo|
Ahkoemy|m|Eboo, Hebo|
Ahsiquashy|m|Eboo, Hebo|
Parlo|m|Ahourah, Iagon|
Obary|m|Eboo, Hebo|
Olieree|m|Eboo, Hebo|
Ahbah|m|Moko, Makol|
Engbang|m|Moko, Makol|
Mowh|m|Moko, Makol|
Jackoh|m|Calabar|
Anemogo|m|Calabar|
Engdong|m|Eengbroka|
Ohdmgmio|m|Eboo, Hebo|
Quomah|m|Eboo, Hebo|
Abassa|m|Eboo, Hebo|
Butamir|m|Eboo, Hebo|
Yaho|m|Eboo, Hebo|
Haser|m|Eboo, Hebo|
Hochu|m|Eboo, Hebo|
Hyducan|m|Eboo, Hebo|
Unknown|m|Eboo, Hebo|
Hoolayboo|m|Calabar|
Comba|m|Eboo, Hebo|
Samba|m|Eboo, Hebo|
Manda|m|Eboo, Hebo|
Bye|m|Eboo, Hebo|
Fagu|m|Eboo, Hebo|
Lally|m|Eboo, Hebo|
So|m|Eboo, Hebo|
Oudam|m|Eboo, Hebo|
Haga|m|Eboo, Hebo|
Horam|m|Eboo, Hebo|
Okawho|m|Calabar|
Hoodan|m|Calabar|
Amana|m|Calabar|
Acquan Monki|m|Calabar|
Acladock|m|Calabar|
Sumah|m|Papa|
Adfudola|m|Hausa, Hoosa, Houssa|
Sandah|m|Hausa, Hoosa, Houssa|
Suffdah|m|Hausa, Hoosa, Houssa|
Candiho|m|Hausa, Hoosa, Houssa|
Alayala|m|Eboo, Hebo|
Hocha|m|Eboo, Hebo|
Ekajoy|m|Eboo, Hebo|
Accouualah|m|Eboo, Hebo|
Harloo|m|Eboo, Hebo|
Oomanah|m|Eboo, Hebo|
Emaliko|m|Eboo, Hebo|
Acamolay|m|Eboo, Hebo|
Acappa|m|Eboo, Hebo|
Okarroo|m|Eboo, Hebo|
Anilah|m|Eboo, Hebo|
Ewoolah|m|Eboo, Hebo|
Okara|m|Garag, Geerah|
Odamah|m|Garag, Geerah|
Ohalee|m|Eboo, Hebo|
Obee|m|Eboo, Hebo|
Gidap|m|Eboo, Hebo|
Okatchee|m|Eboo, Hebo|
Eshee|m|Eboo, Hebo|
Jidoo|m|Eboo, Hebo|
Adjio|m|Eboo, Hebo|
Wango|m|Eboo, Hebo|
Eboquay|m|Eboo, Hebo|
Okranko|m|Eboo, Hebo|
Houtcha|m|Eboo, Hebo|
Anguagh|m|Eboo, Hebo|
Anaghha|m|Eboo, Hebo|
Ohayley|m|Eboo, Hebo|
Wakaykay|m|Eboo, Hebo|
Osasu|m|Eboo, Hebo|
Wisiacre|m|Eboo, Hebo|
Ogahakee|m|Eboo, Hebo|
Farquah|m|Eboo, Hebo|
Enan|m|Eboo, Hebo|
Moonah|m|Eboo, Hebo|
Essalah|m|Eboo, Hebo|
Okala|m|Eboo, Hebo|
Peddy|m|Hausa, Hoosa, Houssa|
Ohdah|m|Eboo, Hebo|
Okhagungro|m|Eboo, Hebo|
Ohnodah|m|Eboo, Hebo|
Gallah|m|Eboo, Hebo|
Oloberaa|m|Eboo, Hebo|
Owarah|m|Eboo, Hebo|
Gomera|m|Eboo, Hebo|
Affenda|m|Eboo, Hebo|
Warah|m|Eboo, Hebo|
Bullah|m|Eboo, Hebo|
Hispoo|m|Eboo, Hebo|
Bah|m|Eboo, Hebo|
Affah|m|Eboo, Hebo|
Appindah|m|Eboo, Hebo|
Bullahah|m|Eboo, Hebo|
Equah|m|Eboo, Hebo|
Maggo|m|Eboo, Hebo|
Emapo|m|Eboo, Hebo|
Efunuma|f|Eboo, Hebo|
Efumma|f|Eboo, Hebo|
Bager|f|Eboo, Hebo|
Gumar|f|Eboo, Hebo|
Goffrar|f|Eboo, Hebo|
Loquay|f|Eboo, Hebo|
Alalack|f|Eboo, Hebo|
Hugo|f|Eboo, Hebo|
Pattamore|f|Hausa, Hoosa, Houssa|
Mogaguer|f|Tarquoh, Tarquoi, Tarquor|
Waam|f|Eboo, Hebo|
Momo|f|Eboo, Hebo|
Chador|f|Eboo, Hebo|
Norquay|f|Eboo, Hebo|
Bacca|f|Eboo, Hebo|
Hidooaurbo|f|Eboo, Hebo|
Goffrar|f|Eboo, Hebo|
Hocconoma|f|Eboo, Hebo|
Humbara|f|Eboo, Hebo|
Coocoo|f|Eboo, Hebo|
Mogo|f|Eboo, Hebo|
Hamaman|f|Eboo, Hebo|
Hocher|f|Eboo, Hebo|
Huar|f|Calabar|
