first_name|gender|origin
Gudrun|f|sweden
Gull|f|sweden
Gullan|f|sweden
Gullbritt|f|sweden
Gull-Britt|f|sweden
Gulli|f|sweden
Gullvi|f|sweden
Gully|f|sweden
Gun|f|sweden
Gunborg|f|sweden
Gunbritt|f|sweden
Gun-Britt|f|sweden
Gunda|f|sweden
Gunhild|f|sweden
Gunilla|f|sweden
Gunn|f|sweden
Gunnel|f|sweden
Gunni|f|sweden
Gunvor|f|sweden
Gurli|f|sweden
Gustava|f|sweden
Gärd|f|sweden
Görel|f|sweden
Göta|f|sweden
Hafsa |f|sweden
Hailey |f|sweden
Hailie |f|sweden
Haley |f|sweden
Hana|f|sweden
Hanan|f|sweden
Hanin |f|sweden
Hanna|f|sweden
Hannah|f|sweden
Harriet|f|sweden
Harriet |f|sweden
Havanna |f|sweden
Havin|f|sweden
Haylie|f|sweden
Hedda|f|sweden
Hedvig|f|sweden
Hedwig |f|sweden
Heidi|f|sweden
Helen|f|sweden
Helén|f|sweden
Helena|f|sweden
Helene|f|sweden
Heléne|f|sweden
Helfrid|f|sweden
Helga|f|sweden
Helga |f|sweden
Helin|f|sweden
Helmi|f|sweden
Helny|f|sweden
Henny|f|sweden
Henrietta|f|sweden
Henriette|f|sweden
Herta|f|sweden
Hiba|f|sweden
Hilda|f|sweden
Hilde |f|sweden
Hildegard|f|sweden
Hildur|f|sweden
Hillevi|f|sweden
Hilma|f|sweden
Hjördis|f|sweden
Hoda|f|sweden
Hollie |f|sweden
Holly |f|sweden
Huda |f|sweden
Hulda|f|sweden
Hulda |f|sweden
Ida|f|sweden
Idun|f|sweden
Ilma|f|sweden
Ilona|f|sweden
Ilse |f|sweden
Iman|f|sweden
Ina|f|sweden
Indra|f|sweden
Ines|f|sweden
Inez|f|sweden
Inga|f|sweden
Inga-Britt|f|sweden
Inga-Lena|f|sweden
Ingalill|f|sweden
Inga-Lill|f|sweden
Inga-Lisa|f|sweden
Inga-Maj|f|sweden
Ingbritt|f|sweden
Ing-Britt|f|sweden
Ingeborg|f|sweden
Ingegerd|f|sweden
