first_name|gender|origin
AUSTYN|f|USA
AUTRY|f|USA
AUTUMN|f|USA
AVA|f|USA
AVA CORALINE|f|USA
AVAE'|f|USA
AVAH|f|USA
AVALYN|f|USA
AVALYNN|f|USA
AVANI|f|USA
AVANTI|f|USA
AVANYA|f|USA
AVARY|f|USA
AVE|f|USA
AVELYN|f|USA
AVERI|f|USA
AVERIE|f|USA
AVERLEIGH|f|USA
AVERY|f|USA
AVIA|f|USA
AVIANAH|f|USA
AVIANNA|f|USA
AVIANNAH|f|USA
AVIE|f|USA
AVIERRE|f|USA
AVIGAIL|f|USA
AVILYN|f|USA
AVINNA|f|USA
AVNI|f|USA
AVRA|f|USA
AYA|f|USA
AYAH|f|USA
AYANA|f|USA
AYANI|f|USA
AYANNA|f|USA
AYDEN|f|USA
AYELET|f|USA
AYLA|f|USA
AYLEEN|f|USA
AYLEN|f|USA
AYLIN|f|USA
AYRA|f|USA
AYRIN|f|USA
AYSHA|f|USA
AYVA|f|USA
AYVAH|f|USA
AZALAYA|f|USA
AZALEA|f|USA
AZANIAH|f|USA
AZARIAH|f|USA
AZBAH|f|USA
AZENETH|f|USA
AZMA|f|USA
AZRAH|f|USA
AZRAHNAE|f|USA
AZUL|f|USA
AZURA|f|USA
A'ZYLAH|f|USA
BABETTE|f|USA
BAILEE|f|USA
BAILEY|f|USA
BAIN|f|USA
BAKER|f|USA
BARBARA|f|USA
BASMA|f|USA
BAYLEE|f|USA
BAYLEY|f|USA
BAYLI|f|USA
BEA|f|USA
BEATRICE|f|USA
BEATRIZ|f|USA
BEAUTI|f|USA
BEBEE|f|USA
BECKETT|f|USA
BEIJA|f|USA
BELEN|f|USA
BELICIA|f|USA
BELINDA|f|USA
BELKY|f|USA
BELLA|f|USA
BELLAMY|f|USA
BELLE|f|USA
BENITA|f|USA
BENNETT|f|USA
BENTLEY|f|USA
BENTLEY-ROSE|f|USA
BERKELEY|f|USA
BERKLEY|f|USA
BERLIN|f|USA
BERLYNN|f|USA
BERNADETTE|f|USA
BERNICE|f|USA
BETHANEE|f|USA
BETHANY|f|USA
BETHEL|f|USA
BETSELOT|f|USA
BETTY|f|USA
BETZAIDA|f|USA
BEVERLY|f|USA
BEXLEY|f|USA
BHAKTI|f|USA
BHUVI|f|USA
BIANCA|f|USA
BIBIANNA|f|USA
BILGE|f|USA
BILLIE|f|USA
BILLY'E|f|USA
BIRDIE|f|USA
BIURLYN|f|USA
BLAINE|f|USA
BLAIR|f|USA
BLAKE|f|USA
BLAKELEE|f|USA
BLAKELY|f|USA
BLANCA|f|USA
BLAYNE|f|USA
BLUE JAY|f|USA
BODHI|f|USA
BONNIE|f|USA
BONNIE-CLAIRE|f|USA
BOWIE|f|USA
BRADIE|f|USA
BRAYLIE|f|USA
BREA|f|USA
BREANNA|f|USA
BRE'LAH|f|USA
BRENNA|f|USA
BRIA|f|USA
BRIAH|f|USA
BRIANA|f|USA
BRIANNA|f|USA
BRI'ANNE|f|USA
BRIAR|f|USA
BRI'AYRA|f|USA
BRICEYDA|f|USA
BRICIA|f|USA
BRIDGET|f|USA
BRIELLA|f|USA
BRI'ELLA|f|USA
BRIELLE|f|USA
BRIGITTE|f|USA
BRIM|f|USA
BRINLEE|f|USA
BRINLEY|f|USA
BRISA|f|USA
BRISSA|f|USA
BRISTOL|f|USA
BRISYN|f|USA
BRITTANY|f|USA
BRITTNEY|f|USA
BRONTE|f|USA
BROOKE|f|USA
